teamid;playerid
110062;271464
10032;271573
10;271574
481;271755
1808;271800
231;271917
9;271975
240;272449
1808;272500
243;272505
1808;272612
1796;272777
32;272781
69;272785
73;272834
78;272874
18;272926
5;272978
5;273018
110;273463
1799;273616
32;273651
54;273883
13;274246
245;274288
191;274445
72;274536
1824;274952
32;275028
106;275048
231;275050
76;275208
21;275298
1745;275324
110374;276682
17;276695
10;277031
241;277179
234;277252
10;277295
231;277426
11;277432
130015;277439
246;277482
449;277537
236;277581
241;277643
448;277708
681;277755
605;277797
39;277839
1745;277846
1925;277869
45;277954
1516;278012
241;278046
219;278095
243;278349
247;278661
73;279709
