playerid;teamid;isloaned
259307;5;0
260942;5;1
274559;5;1
238074;5;0
238616;5;0
248158;5;0
261530;5;0
263620;5;0
266032;5;0
266605;5;0
268438;5;0
215441;22;0
229891;22;0
247819;22;0
204923;22;0
208333;22;0
210772;22;0
212190;22;0
212194;22;0
224196;22;0
229476;22;0
235073;22;0
235407;22;0
241050;22;0
246863;22;0
248478;22;1
251852;22;0
254117;22;0
259075;22;0
262105;22;1
270964;22;0
177683;44;0
184392;44;0
192883;44;0
210406;44;0
219715;44;0
226268;44;0
228093;44;0
233096;44;0
239807;44;0
243311;44;0
258648;44;0
264699;44;1
268534;44;0
268558;44;1
198176;44;0
199845;44;0
208128;44;0
224232;44;0
229237;10;1
231478;44;0
237383;44;0
241736;44;0
247888;44;1
211320;45;1
222077;45;0
224422;72;1
231512;45;0
236499;45;1
239580;45;0
240690;45;1
246656;189;1
257290;45;1
268802;45;0
189342;45;0
198009;45;0
205175;45;0
208574;45;0
235840;45;0
238744;45;0
239763;45;0
240679;45;0
243580;112172;1
243630;45;0
246430;45;0
247246;45;0
251870;45;0
276804;45;1
277954;45;0
223550;23;1
236786;32;0
264219;32;0
268622;32;1
270033;32;0
204092;32;0
208618;32;0
210035;32;0
210324;32;0
210366;32;0
211738;32;0
212242;32;0
228813;32;0
231521;32;0
234236;32;0
237328;32;0
247263;32;0
255106;32;0
256853;32;0
261360;32;1
262151;32;0
275028;32;0
212831;9;0
242434;9;0
257289;9;0
203376;9;0
209331;9;0
216267;9;0
222514;9;0
225100;9;0
232487;9;0
233731;9;0
235805;9;0
236772;9;0
237678;9;0
239837;9;0
242516;9;0
246104;9;0
246174;9;1
247601;9;0
253149;9;0
253428;9;1
256630;9;0
260908;9;0
262621;9;0
271975;9;0
278104;9;1
205988;11;0
233064;11;0
240243;11;0
277432;11;0
163264;11;0
200145;11;0
203263;11;0
212198;11;0
226753;11;1
233049;11;1
234574;11;0
235243;11;0
236401;11;0
238041;11;0
239301;11;0
243014;11;0
243647;11;0
250961;11;0
269087;11;0
269136;11;0
224081;10;1
241159;10;0
251570;10;0
253052;10;1
276528;10;1
203574;10;0
204246;10;0
206517;10;1
207410;10;0
208920;10;0
218667;10;0
230621;10;0
231866;10;0
237692;10;0
239085;10;0
239818;10;0
240638;10;0
241236;10;0
242641;10;0
246420;10;0
251517;10;0
253124;10;0
255069;10;0
256675;10;0
270409;10;0
277031;10;0
210008;47;0
215698;47;0
242664;47;0
253473;47;0
254840;47;0
257353;47;1
177003;47;0
